dataset,pixel_id,lat,lon,n_events,variance_full_series,ac1_full_series,lambda_ar1_full_series
GPP,13,50.375,-117.875,0,8.30575136615232e-06,0.10467723838571791,2.2568179235326977
GPP,14,50.625,-117.625,1,8.329596486580556e-06,0.12298617496644748,2.0956661306135267
GPP,15,50.625,-116.375,0,7.415964166504312e-06,0.1458917030544963,1.9248042871808622
GPP,16,50.875,-114.875,1,8.450680913143736e-06,0.10859124962068338,2.2202931073059498
GPP,17,51.125,-116.875,1,8.693310043453206e-06,0.19250302833897162,1.6476162812786996
GPP,18,51.375,-120.125,1,1.3166907672128206e-05,0.027380847800457735,3.597892744002887
GPP,19,51.375,-116.125,0,4.601198203091693e-06,0.20286536023267274,1.5951625113221408
GPP,20,47.625,-81.875,1,1.3069033988702116e-05,0.2441381658378083,1.4102436359954826
GPP,21,48.125,-85.125,1,1.8492068259043117e-05,0.24885073612721803,1.3895593118018463
GPP,22,48.125,-83.625,1,1.4869274411587501e-05,0.21262878370895782,1.5481995465816636
GPP,23,48.125,-79.625,1,8.577946145002551e-06,0.3226816662307179,1.1309212581224608
GPP,24,48.375,-83.375,1,1.390319673879523e-05,0.18801678430688354,1.6704891992496573
GPP,25,49.125,-88.625,1,1.0818293486454591e-05,0.2376158491084195,1.4370341101056936
GPP,26,49.125,-85.875,1,1.733454792357624e-05,0.23154028508703112,1.4629876055563977
GPP,27,49.875,-82.625,1,1.2931939939747987e-05,0.19178173070958185,1.6515803497006623
GPP,28,50.625,-86.125,1,1.3554548318238335e-05,0.2468293490420035,1.3991499835472558
GPP,29,50.625,-85.125,0,1.0833249713420907e-05,0.2707912637948449,1.306376491819739
GPP,30,46.375,-76.125,1,8.650789781117147e-06,0.2193325454746161,1.5171555232483735
GPP,31,46.375,-75.625,1,8.176735935074871e-06,0.2362332187612646,1.4429581473540112
GPP,32,46.375,-73.125,1,8.85932778591638e-06,0.18448217275094275,1.690197491198757
GPP,33,47.125,-71.625,1,1.2012457721632667e-05,0.18345320429121306,1.6956569383818052
GPP,34,47.875,-75.375,1,1.3144799221930668e-05,0.17658716943841002,1.7339472791341444
GPP,35,48.125,-71.625,1,1.1389902339812542e-05,0.17800638445003344,1.7259312631478658
GPP,36,48.625,-73.375,1,1.220081634292035e-05,0.26086213053371254,1.3437461247624807
GPP,37,49.125,-73.125,1,1.1169138635683274e-05,0.2979560635892363,1.2107921286075198
GPP,38,49.625,-72.625,0,1.3841490417767111e-05,0.27984606092161013,1.2734909795130276
